Year,Region,Student_Dropout_Value,Teacher_Data_Value
2005,Portugal,0.9582089552238806,0.016653557188966342
2006,Portugal,0.9283582089552239,0.02134584610377282
2007,Portugal,0.7402985074626866,0.023163090943611166
2008,Portugal,0.6268656716417911,0.026553473107488672
2009,Abrantes,0.6208955223880597,0.031028777563806995
2009,Aguiar da Beira,0.22985074626865673,0.002549567387235889
2009,Alandroal,0.42686567164179107,0.0051805039464048385
2009,Albergaria-a-Velha,0.4626865671641791,0.018714909544603864
2009,Albufeira,0.6388059701492537,0.007431717703219506
2009,Alcanena,0.591044776119403,0.026282242534378476
2009,Alcobaça,0.4925373134328358,0.019176001518891206
2009,Alcochete,0.764179104477612,0.014239605088285551
2009,Alcácer do Sal,0.5791044776119403,0.010469500122053757
2009,Alenquer,0.5253731343283582,0.01404974368710841
2009,Alfândega da Fé,0.9044776119402985,0.009330331714990913
2009,Alijó,0.7074626865671642,0.008435270823727251
2009,Aljustrel,0.5880597014925373,0.010469500122053757
2009,Almada,0.7343283582089553,0.05644308226423282
2009,Almeida,0.6656716417910448,0.0219967994792373
2009,Almeirim,0.5223880597014925,0.02804524125959478
2009,Almodôvar,0.5791044776119403,0.01136456101331742
2009,Alpiarça,0.6119402985074627,0.010794976809785998
2009,Alter do Chão,0.8208955223880597,0.008733624454148471
2009,Alvaiázere,0.5701492537313433,0.0224036453389026
2009,Amadora,0.8029850746268656,0.04461742927662806
2009,Amarante,0.2537313432835821,0.009411700886923972
2009,Amares,0.582089552238806,0.008191163307928068
2009,Anadia,0.44776119402985076,0.033524098836420844
2009,Ansião,0.5134328358208955,0.011500176299872522
2009,Arcos de Valdevez,0.40298507462686567,0.018063956169139382
2009,Arganil,0.555223880597015,0.011961268274159864
2009,Arouca,0.3641791044776119,0.005261873118337899
2009,Arraiolos,0.40895522388059696,0.007187610187420326
2009,Arruda dos Vinhos,0.5701492537313433,0.011825652987604763
2009,Aveiro,0.6388059701492537,0.03271040711709024
2009,Avis,0.42388059701492536,0.004095581653964034
2009,Azambuja,0.8238805970149254,0.00840814776641623
2009,Baião,0.9044776119402985,0.0005424611462204018
2009,Barcelos,0.4388059701492537,0.012205375789959044
2009,Barreiro,0.6895522388059702,0.04722124277848599
2009,Batalha,0.6776119402985075,0.009411700886923972
2009,Beja,0.7253731343283583,0.029265778838590682
2009,Belmonte,0.582089552238806,0.03645338902601101
2009,Benavente,0.6567164179104478,0.01114757655482926
2009,Bombarral,0.7522388059701492,0.01621958827199002
2009,Boticas,0.44776119402985076,0.004095581653964034
2009,Braga,0.4865671641791045,0.02758414928530744
2009,Bragança,0.6477611940298507,0.04063033985190811
2009,Cabeceiras de Basto,0.5402985074626866,0.0029564132469011906
2009,Cadaval,0.7313432835820896,0.0055331036914480995
2009,Caldas da Rainha,0.6686567164179104,0.028858932978925382
2009,Caminha,0.5462686567164179,0.020857631072174455
2009,Campo Maior,0.4507462686567164,0.0043125661124521954
2009,Cantanhede,0.48059701492537316,0.036805988771054274
2009,Carrazeda de Ansiães,0.3611940298507463,0.01394125145786433
2009,Carregal do Sal,0.7194029850746269,0.024844720496894408
2009,Cartaxo,0.43582089552238806,0.04106430876888443
2009,Cascais,0.5164179104477612,0.03976240201795546
2009,Castelo Branco,0.5223880597014925,0.046109197428734164
2009,Castelo de Paiva,0.6358208955223881,0.0007323225473975425
2009,Castro Daire,0.6895522388059702,0.007865686620195829
2009,Castro Verde,0.3970149253731343,0.010794976809785998
2009,Celorico da Beira,0.8567164179104477,0.0039328433100979145
2009,Celorico de Basto,0.36716417910447763,0.003688735794298733
2009,Chamusca,0.7761194029850746,0.020857631072174455
2009,Chaves,0.42089552238805966,0.03721283463071958
2009,Cinfães,0.28955223880597014,0.004529550570940356
2009,Coimbra,0.608955223880597,0.050557378827741466
2009,Condeixa-a-Nova,0.7134328358208955,0.031435623423472295
2009,Constância,0.3402985074626866,0.011825652987604763
2009,Coruche,0.45671641791044776,0.0282079796034609
2009,Covilhã,0.5104477611940299,0.025766904445469092
2009,Crato,0.3044776119402985,0.012720713878868426
2009,Cuba,0.9522388059701492,0.009330331714990913
2009,Elvas,0.8,0.01657218801703328
2009,Entroncamento,0.5940298507462686,0.039138571699802005
2009,Espinho,0.3611940298507463,0.0287504407496813
2009,Esposende,0.3880597014925373,0.022729122026634845
2009,Estarreja,0.46567164179104475,0.027448533998752335
2009,Estremoz,0.5074626865671642,0.016192465214679
2009,Fafe,0.3701492537313433,0.010062654262388457
2009,Faro,0.5343283582089552,0.0282079796034609
2009,Felgueiras,0.3701492537313433,0.005370365347581979
2009,Ferreira do Alentejo,0.1701492537313433,0.012720713878868426
2009,Ferreira do Zêzere,0.6985074626865672,0.0048007811440505576
2009,Figueira da Foz,0.5343283582089552,0.054029130163552035
2009,Figueira de Castelo Rodrigo,0.7582089552238805,0.007187610187420326
2009,Figueiró dos Vinhos,0.5641791044776119,0.026282242534378476
2009,Fornos de Algodres,0.5850746268656717,0.002278336814125688
2009,Fronteira,0.47761194029850745,0.0016273834386612055
2009,Fundão,0.382089552238806,0.02858770240581518
2009,Gondomar,0.4895522388059701,0.022729122026634845
2009,Gouveia,0.5134328358208955,0.01990832406628875
2009,Grândola,0.45970149253731346,0.01087634598171906
2009,Guarda,0.5194029850746268,0.04488865984973826
2009,Guimarães,0.5074626865671642,0.012395237191136183
2009,Idanha-a-Nova,0.5223880597014925,0.013751390056687188
2009,Lagoa,0.6865671641791045,0.007865686620195829
2009,Lagos,0.608955223880597,0.026011011961268274
2009,Lamego,0.4417910447761194,0.021644199734194042
