01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2002,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,29.3
2002,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,55.4
2002,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,45.7
2002,Portugal,,Total,10º ano,,,,38.9
2002,Portugal,,Total,11º ano,,,,21.9
2002,Portugal,,Total,12º ano,,,,48.8
2002,Portugal,,Total,Total,,,,37.4
2003,Portugal,,Cursos Gerais,10º ano,,,,31.5
2003,Portugal,,Cursos Gerais,11º ano,,,,17.9
2003,Portugal,,Cursos Gerais,12º ano,,,,43.5
2003,Portugal,,Cursos Gerais,Total,,,,31.5
2003,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,45.8
2003,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,24.4
2003,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,53.6
2003,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,42.1
2003,Portugal,,Total,10º ano,,,,34.8
2003,Portugal,,Total,11º ano,,,,19.2
2003,Portugal,,Total,12º ano,,,,45.3
2003,Portugal,,Total,Total,,,,33.7
2004,Portugal,,Cursos Gerais,10º ano,,,,29.6
2004,Portugal,,Cursos Gerais,11º ano,,,,15.4
2004,Portugal,,Cursos Gerais,12º ano,,,,47.5
2004,Portugal,,Cursos Gerais,Total,,,,31.4
2004,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,46.7
2004,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,27.9
2004,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,54.7
2004,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,43.5
2004,Portugal,,Total,10º ano,,,,33.4
2004,Portugal,,Total,11º ano,,,,17.8
2004,Portugal,,Total,12º ano,,,,48.7
2004,Portugal,,Total,Total,,,,33.8
2005,Portugal,,Cursos Gerais,10º ano,,,,22.0
2005,Portugal,,Cursos Gerais,11º ano,,,,13.7
2005,Portugal,,Cursos Gerais,12º ano,,,,47.9
2005,Portugal,,Cursos Gerais,Total,,,,28.7
